2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","102","Fraser","8823","Kaleen","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","899","40.310"
"ACT","102","Fraser","8823","Kaleen","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","28","60.870"
"ACT","102","Fraser","8823","Kaleen","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","18","39.130"
"ACT","102","Fraser","8823","Kaleen","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","378","86.500"
"ACT","102","Fraser","8823","Kaleen","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","59","13.500"
"ACT","102","Fraser","8824","Kaleen South","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","572","41.270"
"ACT","102","Fraser","8824","Kaleen South","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","814","58.730"
"ACT","102","Fraser","8824","Kaleen South","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","16","45.710"
"ACT","102","Fraser","8824","Kaleen South","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","19","54.290"
"ACT","102","Fraser","8824","Kaleen South","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","252","81.820"
"ACT","102","Fraser","8824","Kaleen South","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","56","18.180"
"ACT","102","Fraser","8825","Latham","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1121","60.560"
"ACT","102","Fraser","8825","Latham","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","730","39.440"
"ACT","102","Fraser","8825","Latham","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","26","52.000"
"ACT","102","Fraser","8825","Latham","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","24","48.000"
"ACT","102","Fraser","8825","Latham","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","315","82.250"
