2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","101","Canberra","8780","Mawson","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","79","17.670"
"ACT","101","Canberra","8781","Monash","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1337","54.020"
"ACT","101","Canberra","8781","Monash","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","1138","45.980"
"ACT","101","Canberra","8781","Monash","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","112","24.720"
"ACT","101","Canberra","8781","Monash","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","341","75.280"
"ACT","101","Canberra","8782","Narrabundah","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","639","39.400"
"ACT","101","Canberra","8782","Narrabundah","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","983","60.600"
"ACT","101","Canberra","8782","Narrabundah","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","80","17.540"
"ACT","101","Canberra","8782","Narrabundah","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","376","82.460"
"ACT","101","Canberra","8783","Oaks Estate","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","34","36.170"
"ACT","101","Canberra","8783","Oaks Estate","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","60","63.830"
"ACT","101","Canberra","8783","Oaks Estate","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","39","90.700"
"ACT","101","Canberra","8783","Oaks Estate","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","4","9.300"
"ACT","101","Canberra","8784","Pearce","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","1091","43.570"
"ACT","101","Canberra","8784","Pearce","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1413","56.430"
"ACT","101","Canberra","8784","Pearce","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","454","80.640"
"ACT","101","Canberra","8784","Pearce","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","109","19.360"
"ACT","101","Canberra","8785","Red Hill","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","886","49.520"
"ACT","101","Canberra","8785","Red Hill","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","903","50.480"
"ACT","101","Canberra","8785","Red Hill","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","75","17.520"
"ACT","101","Canberra","8785","Red Hill","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","353","82.480"
"ACT","101","Canberra","8786","Richardson","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","832","56.220"
"ACT","101","Canberra","8786","Richardson","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","648","43.780"
"ACT","101","Canberra","8786","Richardson","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","70","25.930"
"ACT","101","Canberra","8786","Richardson","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","200","74.070"
"ACT","101","Canberra","8788","Tharwa","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","54","52.430"
"ACT","101","Canberra","8788","Tharwa","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","49","47.570"
"ACT","101","Canberra","8788","Tharwa","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","17","73.910"
"ACT","101","Canberra","8788","Tharwa","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","6","26.090"
"ACT","101","Canberra","8790","Wanniassa","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1220","58.230"
"ACT","101","Canberra","8790","Wanniassa","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","875","41.770"
"ACT","101","Canberra","8790","Wanniassa","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","351","78.170"
"ACT","101","Canberra","8790","Wanniassa","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","98","21.830"
"ACT","101","Canberra","8791","Wanniassa Hills","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","841","41.450"
"ACT","101","Canberra","8791","Wanniassa Hills","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1188","58.550"
"ACT","101","Canberra","8791","Wanniassa Hills","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","368","81.960"
"ACT","101","Canberra","8791","Wanniassa Hills","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","81","18.040"
"ACT","101","Canberra","8792","Waramanga","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","921","41.620"
"ACT","101","Canberra","8792","Waramanga","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1292","58.380"
"ACT","101","Canberra","8792","Waramanga","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","460","83.480"
"ACT","101","Canberra","8792","Waramanga","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","91","16.520"
"ACT","101","Canberra","8793","Weston","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","691","58.310"
"ACT","101","Canberra","8793","Weston","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","494","41.690"
"ACT","101","Canberra","8793","Weston","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","228","84.760"
"ACT","101","Canberra","8793","Weston","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","41","15.240"
"ACT","101","Canberra","8794","Canberra Hospital","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","291","44.020"
"ACT","101","Canberra","8794","Canberra Hospital","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","370","55.980"
"ACT","101","Canberra","8794","Canberra Hospital","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","146","80.220"
"ACT","101","Canberra","8794","Canberra Hospital","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","36","19.780"
